Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Bao, CG; Chen, MX",,,,"Bao, Cathy Ge; Chen, Maggie Xiaoyang",,,Foreign Rivals Are Coming to Town: Responding to the Threat of Foreign Multinational Entry,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,,,English,Article,,,,,,,MULTIPRODUCT FIRMS; DIRECT-INVESTMENT; TRADE LIBERALIZATION; INTERNATIONAL-TRADE; DOMESTIC FIRMS; UNITED-STATES; PRODUCTIVITY; COMPETITION; INNOVATION; INDUSTRY,"How do domestic firms respond to the threat of foreign competition? This paper quantifies foreign competition threats by exploiting news of potential multinational investments from over 35,000 media outlets around the world. Using firm-specific measures of foreign competition threat, the analysis shows that domestic firms respond by upgrading productivity, raising innovation, and altering product composition. However, there is a U-shape relationship between initial productivity and productivity growth where the right and left tails upgrade productivity through innovation and product dropping, respectively. These responses constitute an economically important source of gains and convey new implications for the timing of economic policies.","[Bao, Cathy Ge] Univ Int Business & Econ, Sch Int Trade & Econ, Qiuzhen Hall 427,10 Huixin East St, Beijing 100029, Peoples R China; [Chen, Maggie Xiaoyang] George Washington Univ, 2115 G St NW,Suite 367, Washington, DC 20052 USA",University of International Business & Economics; George Washington University,"Bao, CG (通讯作者)，Univ Int Business & Econ, Sch Int Trade & Econ, Qiuzhen Hall 427,10 Huixin East St, Beijing 100029, Peoples R China.",baoge@uibe.edu.cn; xchen@gwu.edu,,,National Natural Science Foundation of China [71703021]; Fundamental Research Funds for Central Universities at UIBE [16QN03],National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Fundamental Research Funds for Central Universities at UIBE,"We are very grateful to Nick Bloom, Jonathan Eaton, Amit Khandelwal, Bill Lincoln, Aaditya Mattoo, Marc Melitz, Patricia Tovar, Stephen Yeaple, and session and seminar participants at the World Bank, American Economic Association Meeting, XIV Annual Conference of the Euro-Latin Study Network on Integration and Trade, University of Texas at Austin, and Washington Area International Trade Symposium for very helpful comments and suggestions. Cathy Ge Bao is grateful to the National Natural Science Foundation of China (71703021) and Fundamental Research Funds for Central Universities at UIBE (16QN03) for support.",,47,10,10,2,23,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",1945-7782,1945-7790,,AM ECON J-APPL ECON,Am. Econ. J.-Appl. Econ.,OCT,2018,10,4,,,,,120,157,,10.1257/app.20170113,http://dx.doi.org/10.1257/app.20170113,,,38,Economics,Social Science Citation Index (SSCI),Business & Economics,GU7WP,,Green Submitted,,,2024/3/8,WOS:000445541200004,View Full Record in Web of Science
J,"Quadrini, V; Sun, Q",,,,"Quadrini, Vincenzo; Sun, Qi",,,CREDIT AND FIRM-LEVEL VOLATILITY OF EMPLOYMENT,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,,,English,Article,,,,,,,CORPORATE-FINANCE; CAPITAL STRUCTURE; DEBT; LINES; LABOR; FLOW,"We study a firm dynamics model where access to credit improves the bargaining position of firms with workers and increases the incentive to hire. To evaluate the importance of the bargaining channel for the hiring decisions of firms, we estimate the model structurally using data from Compustat and Capital IQ. We find that the bargaining channel explains 13% of firm-level employment volatility. We also evaluate the relative contribution of credit and revenue shocks for firm-level employment fluctuations and find that credit shocks account for 22%. (JEL: G32, J30)","[Quadrini, Vincenzo] Univ Southern Calif, Los Angeles, CA 90007 USA; [Quadrini, Vincenzo] CEPR, Washington, DC 20009 USA; [Sun, Qi] Shanghai Univ Finance & Econ, Shanghai, Peoples R China",University of Southern California; Center for Economic & Policy Research (CEPR); Shanghai University of Finance & Economics,"Quadrini, V (通讯作者)，Univ Southern Calif, Los Angeles, CA 90007 USA.;Quadrini, V (通讯作者)，CEPR, Washington, DC 20009 USA.",quadrini@usc.edu; sunqi@sufe.edu.cn,,"Sun, Qi/0000-0002-8324-7986",,,,,26,2,2,2,7,OXFORD UNIV PRESS,OXFORD,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",1542-4766,1542-4774,,J EUR ECON ASSOC,J. Eur. Econ. Assoc.,OCT,2018,16,5,,,,,1433,1475,,10.1093/jeea/jvx039,http://dx.doi.org/10.1093/jeea/jvx039,,,43,Economics,Social Science Citation Index (SSCI),Business & Economics,HD7MN,,Green Submitted,,,2024/3/8,WOS:000452736600004,View Full Record in Web of Science
J,"Miao, JJ; Wang, PF",,,,"Miao, Jianjun; Wang, Pengfei",,,Asset Bubbles and Credit Constraints,AMERICAN ECONOMIC REVIEW,,,English,Article,,,,,,,STOCK-MARKET BUBBLES; OVERLAPPING GENERATIONS; SPECULATIVE BUBBLES; ENDOGENOUS GROWTH; FINANCIAL CRISES; MONETARY-POLICY; PRICE BUBBLES; DEBT; MODEL; MONEY,We provide a theory of rational stock price bubbles in production economies with infinitely-lived agents. Finns meet stochastic investment opportunities and face endogenous credit constraints. They are not fully committed to repaying debt. Credit constraints are derived from incentive constraints in optimal contracts which ensure default never occurs in equilibrium. Stock price bubbles can emerge through a positive feedback loop mechanism and cannot be ruled out by transversality conditions. These bubbles command a liquidity premium and raise investment by raising the debt limit. Their collapse leads to a recession and a stock market crash.,"[Miao, Jianjun] Boston Univ, Dept Econ, 270 Bay State Rd, Boston, MA 02215 USA; [Miao, Jianjun] Cent Univ Finance & Econ, Southwestern Univ Finance & Econ, CICFS, CEMA, Beijing, Peoples R China; [Wang, Pengfei] Hong Kong Univ Sci & Technol, Dept Econ, Hong Kong, Hong Kong, Peoples R China",Boston University; Central University of Finance & Economics; Hong Kong University of Science & Technology,"Miao, JJ (通讯作者)，Boston Univ, Dept Econ, 270 Bay State Rd, Boston, MA 02215 USA.;Miao, JJ (通讯作者)，Cent Univ Finance & Econ, Southwestern Univ Finance & Econ, CICFS, CEMA, Beijing, Peoples R China.",miaoj@bu.edu; pfwang@ust.hk,,,"Research Grants Council of Hong Kong [16515216, 693513]",Research Grants Council of Hong Kong(Hong Kong Research Grants Council),"This paper was accepted to the AER under the guidance of John Leahy, Coeditor. We thank numerous people at many institutions and conferences for helpful feedback. We are especially grateful to Klaus Adam, Jess Benhahib, Christophe Chamley, Russell Cooper, Jordi Gali, Simon Gilchrist, Nohu Kiyotaki, Tom Sargent, Jean Tirole, Yi Wen, Mike Woodford, Wei Xiong, Tao Zha, and anonymous referees for insightful comments and suggestions. Wang acknowledges financial support from the Research Grants Council of Hong Kong under Projects 16515216 and 693513. First version: December 2010.",,71,65,76,3,102,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",0002-8282,1944-7981,,AM ECON REV,Am. Econ. Rev.,SEP,2018,108,9,,,,,2590,2628,,10.1257/aer.20160782,http://dx.doi.org/10.1257/aer.20160782,,,39,Economics,Social Science Citation Index (SSCI),Business & Economics,GS0WJ,,Green Submitted,,,2024/3/8,WOS:000443229800007,View Full Record in Web of Science
J,"Ewerhart, C; Sun, GZ",,,,"Ewerhart, Christian; Sun, Guang-Zhen",,,Equilibrium in the symmetric two-player Hirshleifer contest: Uniqueness and characterization,ECONOMICS LETTERS,,,English,Article,,,,,,Contests; Mixed-strategy equilibrium; Rent dissipation; Uniqueness,SUCCESS FUNCTIONS; TULLOCK CONTESTS; CONFLICT; ROBUSTNESS; NOISE,The symmetric two-player Hirshleifer contest admits a unique equilibrium. The equilibrium support is finite and includes the zero expenditure level. We also establish a lower bound for the cardinality of the support and an upper bound for the undissipated rent. (C) 2018 The Authors. Published by Elsevier B.V.,"[Ewerhart, Christian] Univ Zurich, Dept Econ, Schonberggasse 1, CH-8001 Zurich, Switzerland; [Sun, Guang-Zhen] Univ Macau, Dept Econ, Macau, Peoples R China",University of Zurich; University of Macau,"Ewerhart, C (通讯作者)，Univ Zurich, Dept Econ, Schonberggasse 1, CH-8001 Zurich, Switzerland.",christian.ewerhart@econ.uzh.ch; gzsun@umac.mo,,,,,,,19,5,5,0,1,ELSEVIER SCIENCE SA,LAUSANNE,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",0165-1765,1873-7374,,ECON LETT,Econ. Lett.,AUG,2018,169,,,,,,51,54,,10.1016/j.econlet.2018.05.010,http://dx.doi.org/10.1016/j.econlet.2018.05.010,,,4,Economics,Social Science Citation Index (SSCI),Business & Economics,GL7KR,,"Green Accepted, hybrid",,,2024/3/8,WOS:000437380400013,View Full Record in Web of Science
J,"Fang, S; Egan, P",,,,"Fang, Sheng; Egan, Paul",,,Measuring contagion effects between crude oil and Chinese stock market sectors,QUARTERLY REVIEW OF ECONOMICS AND FINANCE,,,English,Article,,,,,,Contagion; Oil market; Chinese stock sectors; Extreme returns; Co-exceedances,COPULA APPROACH; PRICE SHOCKS; DEPENDENCE; MODEL,"The role of cross-market linkages in the occurrence of tail events in stock and energy markets has not yet been fully understood in the contagion literature. This paper investigates the contagion from oil prices to Chinese stock sectors by considering differences between extreme positive returns and extreme negative returns. We compute time-varying cut-offs by employing a generalized Pareto distribution (GPD) function to estimate excess returns. We then use a multinomial logit (MNL) model to examine the probability of Chinese stock sector co-exceedances associated with oil price exceedances. Our results indicate that, compared to common domestic factors, the contagion between oil price and stock sectors is relatively weak, but never negligible. We argue that faced with volatile oil prices during turbulent periods, the existence of any contagion weakens the benefits of portfolio diversification related to oil and Chinese stock sector investment. Based on our findings, investors holding a portfolio of oil and Chinese sector stocks should pay special attention to the extreme changes in crude oil prices and adopt hedging measures to protect their portfolio from extreme shocks to oil markets. (C) 2017 Board of Trustees of the University of Illinois. Published by Elsevier Inc. All rights reserved.","[Fang, Sheng] Tongji Univ, Sch Econ & Management, Shanghai, Peoples R China; [Egan, Paul] Univ St Andrews, Sch Econ & Finance, St Andrews, Fife, Scotland",Tongji University; University of St Andrews,"Fang, S (通讯作者)，Tongji Univ, Sch Econ & Management, Shanghai, Peoples R China.",1310337@tongji.edu.cn; pge4@st-andrews.ac.uk,,"Egan, Paul/0000-0001-9616-3987",,,,,19,27,27,0,29,ELSEVIER SCIENCE INC,NEW YORK,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",1062-9769,1878-4259,,Q REV ECON FINANC,Q. Rev. Econ. Financ.,MAY,2018,68,,,,,,31,38,,10.1016/j.qref.2017.11.010,http://dx.doi.org/10.1016/j.qref.2017.11.010,,,8,Economics,Social Science Citation Index (SSCI),Business & Economics,GG1KX,,Green Accepted,,,2024/3/8,WOS:000432447000004,View Full Record in Web of Science
C,"Moffitt, R; Zhang, SS",,,,"Moffitt, Robert; Zhang, Sisi",,,Income Volatility and the PSID: Past Research and New Results,AEA PAPERS AND PROCEEDINGS,,,English,Proceedings Paper,130th Annual Meeting of the American-Economic-Association (AEA),"JAN 05-07, 2018","Philadelphia, PA",Amer Econ Assoc,,,LABOR-MARKET; EARNINGS,,"[Moffitt, Robert] Johns Hopkins Univ, 3400 N Charles St, Baltimore, MD 21218 USA; [Zhang, Sisi] Jinan Univ, 601 Huangpu Ave W, Guangzhou 510632, Guangdong, Peoples R China",Johns Hopkins University; Jinan University,"Moffitt, R (通讯作者)，Johns Hopkins Univ, 3400 N Charles St, Baltimore, MD 21218 USA.",moffitt@jhu.edu; sisi.zhang@gmail.com,,,,,,,6,18,18,0,4,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",2574-0768,2574-0776,,AEA PAP P,AEA Pap. Proc.,MAY,2018,108,,,,,,277,280,,10.1257/pandp.20181048,http://dx.doi.org/10.1257/pandp.20181048,,,4,Economics,Conference Proceedings Citation Index - Science (CPCI-S),Business & Economics,GI6GW,,Green Submitted,,,2024/3/8,WOS:000434468600053,View Full Record in Web of Science
J,"Bao, T; Dai, Y; Yu, XH",,,,"Bao, Te; Dai, Yun; Yu, Xiaohua",,,Memory and discounting: Theory and evidence,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,,,English,Article,,,,,,Memory utility; Intertemporal consumption; Individual discount rates; Time preference,TIME-PREFERENCES; RISK PREFERENCES,"Heterogeneous memory capacity is largely neglected in the economics literature, although it may have profound economic implications. Adopting the concept of memory utility proposed by Gilboa, Postlewaite, and Samuelson (2016), we explore the relationship between memory capacity and individual discounting behavior by building a simple two period model and comparing its predictions with experimental data. Both theoretical and experimental evidence confirm that memory capacity and discount rates are positively correlated. (C) 2018 Elsevier B.V. All rights reserved.","[Bao, Te] Nanyang Technol Univ, Sch Social Sci, Div Econ, Singapore, Singapore; [Dai, Yun] Sun Yat Sen Univ, Lingnan Coll, Guangzhou, Guangdong, Peoples R China; [Yu, Xiaohua] Georg August Univ Gottingen, Courant Res Ctr Poverty Equ & Growth, Gottingen, Germany",Nanyang Technological University; Sun Yat Sen University; University of Gottingen,"Yu, XH (通讯作者)，Georg August Univ Gottingen, Courant Res Ctr Poverty Equ & Growth, Gottingen, Germany.",baote@ntu.edu.sg; daiy28@mail.sysu.edu.cn; xyu@gwdg.de,"Bao, Te/S-2353-2019","Bao, Te/0000-0001-6397-9365; Yu, Xiaohua/0000-0003-4257-8081",Nanyang Technological University; Ministry of Education of Singapore; German Research Foundation (DFG) [RTG-1666],"Nanyang Technological University(Nanyang Technological University); Ministry of Education of Singapore(Ministry of Education, Singapore); German Research Foundation (DFG)(German Research Foundation (DFG))","We have benefited from the helpful comments of Soo Hong Chew, Zhigiang Dong, Ninghua Du, Guocheng Wang, Jichuan Zong and participants of the 2015 CGTEEA Meeting, Dalian, China, SWUFE Workshop on Behavioral and Experimental Economics, Chendu, China, Computing in Economics and Finance (CEF) 2016 Meeting, Bordeaux, France, and Asian Meeting of Econometric Society, Kyoto, Japan. We thank the editor, associate editor and two anonymous referees for their helpful comments. Te Bao thanks the Startup Grant from Nanyang Technological University, and Tier 1 Grant from Ministry of Education of Singapore. We thank Prof. Yuejie Zhang, Mr. Shenhui Liu and Ms. Jie Sheng in Jilin Agricultural University and Dr. Xu Tian in Nanjing Agricultural University for their support in and coordination for the experiments. Xiaohua Yu also acknowledges the funding support from German Research Foundation (DFG, RTG-1666).",,28,4,4,1,12,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0165-1889,1879-1743,,J ECON DYN CONTROL,J. Econ. Dyn. Control,MAR,2018,88,,,,,,21,30,,10.1016/j.jedc.2018.01.016,http://dx.doi.org/10.1016/j.jedc.2018.01.016,,,10,Economics,Social Science Citation Index (SSCI),Business & Economics,GA1RZ,,"Green Accepted, Green Submitted",,,2024/3/8,WOS:000428096400002,View Full Record in Web of Science
J,"Poncet, S; Xu, MN",,,,"Poncet, Sandra; Xu, Meina",,,Quality screening and trade intermediaries: Evidence from China,REVIEW OF INTERNATIONAL ECONOMICS,,,English,Article,,,,,,,MULTIPRODUCT FIRMS; OVERSEAS CHINESE; MIDDLEMEN; PRODUCTIVITY,"We examine the quality-screening role played by intermediaries in international trade, exploiting export data at the product level for Chinese exporters. We uncover substantial heterogeneity among intermediaries, and distinguish two types: generalized and specialized intermediaries. We find strong evidence of a quality-verification role for specialized intermediaries: they are more prevalent in products with greater quality dispersion among local exporters, and export goods of higher quality than do generalized intermediaries. Our results suggest that specialized intermediaries have the capacity to reduce the incidence of quality problems.","[Poncet, Sandra] Univ Paris 01, Paris Sch Econ, Paris, France; [Poncet, Sandra] CEPII, Paris, France; [Xu, Meina] Shanghai Univ Int Business & Econ, Shanghai, Peoples R China",Paris School of Economics; heSam Universite; Universite Pantheon-Sorbonne; Shanghai University of International Business & Economics,"Xu, MN (通讯作者)，Shanghai Univ Int Business & Econ, Inst Int Business, 1900 Wenxiang Rd, Shanghai 201620, Peoples R China.",Xumeinax@163.com,,"poncet, sandra/0000-0001-8714-4610",,,,,43,8,9,0,12,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0965-7576,1467-9396,,REV INT ECON,Rev. Int. Econ.,FEB,2018,26,1,,,,,223,256,,10.1111/roie.12324,http://dx.doi.org/10.1111/roie.12324,,,34,Economics,Social Science Citation Index (SSCI),Business & Economics,FS1EP,,Green Published,,,2024/3/8,WOS:000419517500011,View Full Record in Web of Science
J,"Ge, SQ; Yang, DT; Zhang, JS",,,,"Ge, Suqin; Yang, Dennis Tao; Zhang, Junsen",,,"Population policies, demographic structural changes, and the Chinese household saving puzzle",EUROPEAN ECONOMIC REVIEW,,,English,Article,,,,,,Household saving; One-child policy; Demographic structure; Cohort analysis; China,ONE-CHILD POLICY; TRANSITION; GROWTH; TAIWAN; DETERMINANTS; BEHAVIOR,"Using combined data from population censuses and Urban Household Surveys, we study the effects of demographic structural changes on the rise of household savings in China. Variations in fines across provinces for unauthorized births under the one-child policy and in cohort-specific fertility influenced by the implementation of population control policies are exploited to facilitate identification. We find evidence that older households with fewer adult children saved more, middle-aged households with fewer dependent children experienced increase in savings, and younger households with fewer siblings also saved more. These findings lend support to a simple economic model in which the effects of population control policies are investigated in the context of household saving decisions in China. Published by Elsevier B.V.","[Ge, Suqin] Virginia Tech, Dept Econ, Blacksburg, VA 24061 USA; [Yang, Dennis Tao] Univ Virginia, Darden Sch Business, Charlottesville, VA 22903 USA; [Zhang, Junsen] Chinese Univ Hong Kong, Dept Econ, Hong Kong, Hong Kong, Peoples R China",Virginia Polytechnic Institute & State University; University of Virginia; Chinese University of Hong Kong,"Ge, SQ (通讯作者)，Virginia Tech, Dept Econ, Blacksburg, VA 24061 USA.",ges@vt.edu; yangd@darden.virginia.edu; jszhang@cuhk.edu.hk,,"Ge, Suqin/0000-0002-8844-580X",Virginia Tech,Virginia Tech,We would like to thank the editors of European Economic Review and two anonymous referees for their valuable comments and suggestions. We would also like to acknowledge the financial support of the AdvanceVT micro-grant from Virginia Tech.,,34,30,33,5,55,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0014-2921,1873-572X,,EUR ECON REV,Eur. Econ. Rev.,JAN,2018,101,,,,,,181,209,,10.1016/j.euroecorev.2017.09.008,http://dx.doi.org/10.1016/j.euroecorev.2017.09.008,,,29,Economics,Social Science Citation Index (SSCI),Business & Economics,FV6UC,,Green Submitted,,,2024/3/8,WOS:000424716600010,View Full Record in Web of Science
J,"He, CT; Li, CD; Whalley, J",,,,"He, Chuantian; Li, Chunding; Whalley, John",,,General equilibrium trade modelling with Canada-US transportation costs,JOURNAL OF INTERNATIONAL TRADE & ECONOMIC DEVELOPMENT,,,English,Article,,,,,,Transportation cost; Armington assumption; homogenous goods; computational general equilibrium,INTERNATIONAL-TRADE; GEOGRAPHY; GRAVITY; TARIFFS; FLOWS; CHINA,"Transportation costs are an important topic in international trade, but seldom have researchers paid attention to general equilibrium trade modelling with transportation costs and explored their relevant effects. This paper uses numerical general equilibrium trade model structures to simulate the impacts of transportation costs on welfare and trade for a Canada-US country pair case. We compare two groups of model structures: Armington assumption models and homogeneous goods models. Within these two groups of models, we also compare balanced trade structures to trade imbalance structures and production function transportation costs to iceberg transportation costs. Armington goods models generate more absolute welfare gains from transportation cost elimination than homogeneous goods models. Welfare gains under balanced trade structures are larger in production function transportation cost scenarios than in iceberg transportation cost scenarios, but under trade imbalance structures, welfare gains are greater under iceberg transportation cost scenarios. Canada's welfare gains in the iceberg transportation cost scenario are significantly larger than gains in the production function transportation cost scenario. On trade effects, homogeneous goods models generate more export and import gains, balanced trade structures have more trade variations, and iceberg transportation costs generate more trade effects.","[He, Chuantian] Guangdong Univ Foreign Studies, Sch Econ & Trade, Guangzhou, Guangdong, Peoples R China; [Li, Chunding] Chinese Acad Social Sci, Inst World Econ & Polit, Beijing, Peoples R China; [Whalley, John] Western Univ, Dept Econ, London, ON, Canada",Guangdong University of Foreign Studies; Chinese Academy of Social Sciences; Western University (University of Western Ontario),"Li, CD (通讯作者)，Chinese Acad Social Sci, Inst World Econ & Polit, Beijing, Peoples R China.",chundingli@gmail.com,,"He, Chuantian/0000-0001-6118-2707",,,,,31,1,1,2,26,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0963-8199,1469-9559,,J INT TRADE ECON DEV,J. Int. Trade Econ. Dev.,,2018,27,7,,,,,806,829,,10.1080/09638199.2018.1454499,http://dx.doi.org/10.1080/09638199.2018.1454499,,,24,Economics,Social Science Citation Index (SSCI),Business & Economics,GR1KU,,Green Published,,,2024/3/8,WOS:000442297600005,View Full Record in Web of Science
