Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Bartram, SM; Grinblatt, M",,,,"Bartram, Sohnke M.; Grinblatt, Mark",,,Agnostic fundamental analysis works,JOURNAL OF FINANCIAL ECONOMICS,,,English,Article,,,,,,Valuation; Asset pricing; Market efficiency; Fundamental analysis; Point-in-Time; Theil-Sen,MUTUAL FUND PERFORMANCE; FINANCIAL STATEMENT INFORMATION; EARNINGS-ANNOUNCEMENT DRIFT; EXPECTED STOCK RETURNS; ASSET PRICING-MODELS; CROSS-SECTION; FUTURE EARNINGS; QUARTERLY EARNINGS; SECURITY RETURNS; AVERAGE RETURNS,"To assess stock market informational efficiency with minimal data snooping, we take the view of a statistician with little knowledge of finance. The statistician uses techniques such as least squares to estimate peer-implied fair values from the market values of replicating portfolios with the same accounting statements as the company being valued. Divergence of a company's peer-implied value estimate from its market value represents mispricing, motivating a convergence trade that earns risk-adjusted returns of up to 10% per year and is economically significant for both large and small cap firms. The rate of convergence decays to zero over the subsequent 34 months. (C) 2017 Elsevier B.V. All rights reserved.","[Bartram, Sohnke M.] Univ Warwick, Warwick Business Sch, Finance Grp, Coventry CV4 7AL, W Midlands, England; [Grinblatt, Mark] Univ Calif Los Angeles, Anderson Sch Management, 110 Westwood Plaza, Los Angeles, CA 90095 USA",University of Warwick; University of California System; University of California Los Angeles,"Bartram, SM (通讯作者)，Univ Warwick, Warwick Business Sch, Finance Grp, Coventry CV4 7AL, W Midlands, England.",s.m.bartram@wbs.ac.uk,"Bartram, Söhnke/E-1174-2012","Bartram, Söhnke/0000-0003-0699-7385",,,,,109,32,34,2,42,ELSEVIER SCIENCE SA,LAUSANNE,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",0304-405X,,,J FINANC ECON,J. Financ. Econ.,APR,2018,128.0,1,,,,,125,147,,10.1016/j.jfineco.2016.11.008,0.0,,,23,"Business, Finance; Economics",Social Science Citation Index (SSCI),Business & Economics,GC4PA,,Green Published,,,2024-03-08,WOS:000429765800007,0
J,"Allen, F; Fukuda, S; Hoshi, T; Miyajima, H",,,,"Allen, Franklin; Fukuda, Shin-ichi; Hoshi, Takeo; Miyajima, Hideaki",,,Corporate governance: Editor's introduction,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,,,English,Editorial Material,,,,,,,,,"[Allen, Franklin] Imperial Coll London, London, England; [Allen, Franklin] CEPR, London, England; [Allen, Franklin; Hoshi, Takeo] NBER, London, England; [Fukuda, Shin-ichi] Univ Tokyo, Tokyo, Japan; [Fukuda, Shin-ichi] TCER, Tokyo, Japan; [Hoshi, Takeo] Stanford Univ, Stanford, CA 94305 USA; [Miyajima, Hideaki] Waseda Univ, Tokyo, Japan",Imperial College London; Centre for Economic Policy Research - UK; University of Tokyo; Stanford University; Waseda University,"Fukuda, S (通讯作者)，Univ Tokyo, Tokyo, Japan.;Fukuda, S (通讯作者)，TCER, Tokyo, Japan.",sfukuda@e.u-tokyo.ac.jp,,,,,,,2,1,1,0,6,ACADEMIC PRESS INC ELSEVIER SCIENCE,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA",0889-1583,1095-8681,,J JPN INT ECON,J. Jpn. Inst. Econ.,MAR,2018,47.0,,,,SI,,1,2,,10.1016/j.jjie.2018.01.002,0.0,,,2,Economics; International Relations,Social Science Citation Index (SSCI),Business & Economics; International Relations,GA0LL,,Green Submitted,,,2024-03-08,WOS:000428004400001,0
J,"Chernov, M; Dunn, BR; Longstaff, FA",,,,"Chernov, Mikhail; Dunn, Brett R.; Longstaff, Francis A.",,,Macroeconomic-Driven Prepayment Risk and the Valuation of Mortgage-Backed Securities,REVIEW OF FINANCIAL STUDIES,,,English,Article,,,,,,,TERM STRUCTURE; RESIDENTIAL MORTGAGES; DEFAULT RISK; CREDIT RISK; MARKET; MODEL; MBS; HETEROGENEITY; PURCHASES; CONTRACTS,"We develop a three-factor no-arbitrage model for valuing mortgage-backed securities in which we solve for the implied prepayment function from the cross-section of market prices. This model closely fits the cross-section of mortgage-backed security prices without needing to specify an econometric prepayment model. We find that implied prepayments are generally higher than actual prepayments, providing direct evidence of significant macroeconomic-driven prepayment risk premiums in mortgage-backed security prices. We also find evidence that mortgage-backed security prices were significantly affected by Fannie Mae credit risk and the Federal Reserve's quantitative easing programs.","[Chernov, Mikhail; Dunn, Brett R.; Longstaff, Francis A.] Univ Calif Los Angeles, Anderson Sch, 110 Westwood Plaza, Los Angeles, CA 90095 USA; [Chernov, Mikhail] NBER, Cambridge, MA 02138 USA; [Chernov, Mikhail; Longstaff, Francis A.] CEPR, Washington, DC USA",University of California System; University of California Los Angeles; National Bureau of Economic Research; Center for Economic & Policy Research (CEPR),"Longstaff, FA (通讯作者)，Univ Calif Los Angeles, Anderson Sch, 110 Westwood Plaza, Los Angeles, CA 90095 USA.",francis.longstaff@anderson.ucla.edu,"Chernov, Mikhail/AAZ-7663-2021",,,,,,70,20,24,1,41,OXFORD UNIV PRESS INC,CARY,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA",0893-9454,1465-7368,,REV FINANC STUD,Rev. Financ. Stud.,MAR,2018,31.0,3,,,,,1132,1183,,10.1093/rfs/hhx140,0.0,,,52,"Business, Finance; Economics",Social Science Citation Index (SSCI),Business & Economics,GB0NV,,Green Published,,,2024-03-08,WOS:000428744300011,0
J,"Mikhed, V; Vogan, M",,,,"Mikhed, Vyacheslav; Vogan, Michael",,,How data breaches affect consumer credit,JOURNAL OF BANKING & FINANCE,,,English,Article,,,,,,Identity theft; Fraud alert; Data breach; Consumer protection; Credit report,IDENTITY THEFT; BANKRUPTCY,"We use the 2012 South Carolina Department of Revenue data breach as a natural experiment to study how data breaches and news coverage about them affect consumers' interactions with the credit market and their use of credit. We find that some consumers directly exposed to the breach protected themselves against potential losses from future fraudulent use of stolen information by monitoring their files and freezing access to their credit reports. However, these consumers continued their regular use of existing credit cards and did not switch lenders. The response of consumers exposed to the news about the breach only was negligible. (C) 2017 Elsevier B.V. All rights reserved.","[Mikhed, Vyacheslav] Fed Reserve Bank Philadelphia, Payment Cards Ctr, Ten Independence Mall, Philadelphia, PA 19106 USA; [Vogan, Michael] Moodys Analyt, 121 N Walnut St, W Chester, PA 19380 USA",Federal Reserve System - USA; Federal Reserve Bank - Philadelphia,"Mikhed, V (通讯作者)，Fed Reserve Bank Philadelphia, Payment Cards Ctr, Ten Independence Mall, Philadelphia, PA 19106 USA.",slava.mikhed@phil.frb.org; michael.vogan@moodys.com,,,,,,,24,12,19,3,30,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0378-4266,1872-6372,,J BANK FINANC,J. Bank Financ.,MAR,2018,88.0,,,,,,192,207,,10.1016/j.jbankfin.2017.12.002,0.0,,,16,"Business, Finance; Economics",Social Science Citation Index (SSCI),Business & Economics,FX6XQ,,Green Submitted,,,2024-03-08,WOS:000426231000014,0
J,"Anderson, H; Calomiris, CW; Jaremski, M; Richardson, G",,,,"Anderson, Haelim; Calomiris, Charles W.; Jaremski, Matthew; Richardson, Gary",,,"Liquidity Risk, Bank Networks, and the Value of Joining the Federal Reserve System",JOURNAL OF MONEY CREDIT AND BANKING,,,English,Article,,,,,,Federal Reserve member banks; bank networks; liquidity risk,PANICS; DEPRESSION,"Reducing systemic liquidity risk related to seasonal loan demand was one reason for founding the Federal Reserve System. Nevertheless, less than 8% of state-chartered banks joined the Fed in its first decade. Banks facing high liquidity risk from seasonal loan demand were more likely to join the Fed in its first decade. We also find evidence consistent with the notion that banks could obtain some indirect access to the discount window through interbank transfers. Some banks apparently joined the Fed to pass through discount window liquidity to other banks via the interbank network. Joining the Fed increased member banks' lending.","[Anderson, Haelim; Jaremski, Matthew] US Dept Treasury, Off Financial Res, Washington, DC 20226 USA; [Calomiris, Charles W.] Columbia Univ, Financial Inst, New York, NY 10027 USA; [Calomiris, Charles W.; Jaremski, Matthew; Richardson, Gary] Natl Bur Econ Res, Cambridge, MA 02138 USA; [Jaremski, Matthew] Colgate Univ, Hamilton, NY 13346 USA; [Richardson, Gary] Univ Calif Irvine, Econ, Irvine, CA USA",United States Department of the Treasury; Columbia University; National Bureau of Economic Research; Colgate University; University of California System; University of California Irvine,"Anderson, H (通讯作者)，US Dept Treasury, Off Financial Res, Washington, DC 20226 USA.",Haelim.Anderson@ofr.treasury.gov; cc374@gsb.columbia.edu; mjaremski@colgate.edu; garyr@uci.edu,,,,,,,32,14,14,0,15,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0022-2879,1538-4616,,J MONEY CREDIT BANK,J. Money Credit Bank.,FEB,2018,50.0,1,,,,,173,201,,10.1111/jmcb.12457,0.0,,,29,"Business, Finance; Economics",Social Science Citation Index (SSCI),Business & Economics,FT3KD,,"Green Submitted, Green Published",,,2024-03-08,WOS:000423045100006,0
J,"Deshpande, A; Goel, D; Khanna, S",,,,"Deshpande, Ashwini; Goel, Deepti; Khanna, Shantanu",,,Bad Karma or Discrimination? Male-Female Wage Gaps Among Salaried Workers in India,WORLD DEVELOPMENT,,,English,Article,,,,,,gender; wage differentials; gender discrimination; India,GENDER PAY GAP; QUANTILE REGRESSION; STICKY-FLOOR; DIFFERENTIALS; CASTE; DECOMPOSITION; EDUCATION; EARNINGS,"We use nationally representative data from the Employment-Unemployment Surveys in 1999-2000 and 2009-10 to explore gender wage gaps among Regular Wage/Salaried (RWS) workers in India, both at the mean, as well as along the entire wage distribution to see what happens where. The gender log wage gap at the mean is 55% in 1999-2000 and 49% in 2009-10, but this change is not statistically significant. The Blinder-Oaxaca and the Machado-Mata-Melly decompositions indicate that, in both years, the bulk of the gender wage gap is unexplained, i.e., possibly discriminatory. They also reveal that over the decade, while the wage-earning characteristics of women improved relative to men, the discriminatory component of the gender wage gap also increased. In fact, in 2009-10, if women were paid like men, they would have earned more than men on account of their characteristics. In both years, we see the existence of the sticky floor, in that gender wage gaps are higher among low-wage earners and lower for high wage earners. Over the ten-year period, we find that the sticky floor became stickier for RWS women. Machado-Mata-Melly decompositions reveal that, in both years, women at the lower end of the wage distribution face higher discriminatory gaps compared to women at the upper end. (C) 2017 Published by Elsevier Ltd.","[Deshpande, Ashwini; Goel, Deepti] Univ Delhi, New Delhi, India; [Khanna, Shantanu] Univ Calif Irvine, Irvine, CA USA",University of Delhi; University of California System; University of California Irvine,"Deshpande, A (通讯作者)，Univ Delhi, New Delhi, India.",,"Goel, Deepti/U-8463-2019","Goel, Deepti/0000-0002-3876-9590; Khanna, Shantanu/0000-0002-6350-2169",,,,,32,26,32,1,41,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0305-750X,,,WORLD DEV,World Dev.,FEB,2018,102.0,,,,,,331,344,,10.1016/j.worlddev.2017.07.012,0.0,,,14,Development Studies; Economics,Social Science Citation Index (SSCI),Development Studies; Business & Economics,FP5KD,,Green Submitted,,,2024-03-08,WOS:000417657500022,0
J,"Anderson, CL; Reynolds, T; Merfeld, JD; Biscaye, P",,,,"Anderson, C. Leigh; Reynolds, Travis; Merfeld, Joshua D.; Biscaye, Pierre",,,Relating Seasonal Hunger and Prevention and Coping Strategies: A Panel Analysis of Malawian Farm Households,JOURNAL OF DEVELOPMENT STUDIES,,,English,Article,,,,,,,FOOD INSECURITY; NUTRITIONAL-STATUS; SECURITY; POVERTY; DIVERSIFICATION; VULNERABILITY; CONSUMPTION; SHOCKS; MARKET,"Relative to chronic hunger, seasonal hunger in rural and urban areas of Africa is poorly understood. This paper examines the extent and potential correlates of seasonal hunger in Malawi using panel data from 2011-2013. We find that both urban and rural households report seasonal hunger in the pre-harvest months. Certain strategies to smooth consumption, including crop storage and livestock ownership, are associated with fewer months of hunger. In addition, we find that Malawian households that experience seasonal hunger harvest their crops earlier than average - a short-term coping mechanism that can reduce the crop's yield and nutritional value, possibly perpetuating hunger.","[Anderson, C. Leigh; Merfeld, Joshua D.; Biscaye, Pierre] Univ Washington, Evans Sch Publ Policy & Governance, Parrington Hall,Room 412,4100 15th Ave NE, Seattle, WA 98195 USA; [Reynolds, Travis] Colby Coll, Environm Studies Program, Waterville, ME 04901 USA",University of Washington; University of Washington Seattle; Colby College,"Merfeld, JD (通讯作者)，Univ Washington, Evans Sch Publ Policy & Governance, Parrington Hall,Room 412,4100 15th Ave NE, Seattle, WA 98195 USA.",merfeld@uw.edu,"Biscaye, Pierre/GPW-8936-2022; Sunderland, Terence/AAS-5080-2021","Biscaye, Pierre/0000-0002-0396-3318; Sunderland, Terence/0000-0002-1985-9849",Bill and Melinda Gates Foundation [OPP1135685]; Bill and Melinda Gates Foundation [OPP1135685] Funding Source: Bill and Melinda Gates Foundation,Bill and Melinda Gates Foundation(Bill & Melinda Gates Foundation); Bill and Melinda Gates Foundation(Bill & Melinda Gates Foundation),This work was supported by the Bill and Melinda Gates Foundation [OPP1135685].,,81,14,17,1,6,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0022-0388,1743-9140,,J DEV STUD,J. Dev. Stud.,,2018,54.0,10,,,,,1737,1755,,10.1080/00220388.2017.1371296,0.0,,,19,Development Studies; Economics,Social Science Citation Index (SSCI),Development Studies; Business & Economics,GM5ET,30363959.0,"Green Published, hybrid",,,2024-03-08,WOS:000438155300002,0
J,"Connolly, AJ; Turner, J; Potocki, AD",,,,"Connolly, Aidan J.; Turner, Justin; Potocki, Alexa D.",,,IGNITE your corporate innovation: insights from setting up an ag-tech start-up accelerator,INTERNATIONAL FOOD AND AGRIBUSINESS MANAGEMENT REVIEW,,,English,Article,,,,,,accelerator; corporate accelerator; start-up; ecosystem; ag-tech,,"In today's market era of rapid technological innovation even the most established agribusiness players risk being left behind in the wake of disruptive technology. How can large agriculture companies keep up? One emerging possibility for corporate innovation is that of the corporate start-up accelerator. Companies across all sectors, including agricultural and food technology, are increasingly using these programs to tap into early innovation. In 2017, Alltech ran its first program, the Pearse Lyons Accelerator for agri-business and ag-tech start-ups. This article serves to describe and analyze how corporate accelerators have populated start-up ecosystems and how the ag-tech and food sectors are reflecting this trend. Recommendations based on experience and critical feedback are presented to those considering developing their own accelerators and the role it might play in responsible innovation.","[Connolly, Aidan J.; Turner, Justin; Potocki, Alexa D.] Alltech Inc, 3031 Catnip Hill Rd, Nicholasville, KY 30536 USA",Alltech United States,"Connolly, AJ (通讯作者)，Alltech Inc, 3031 Catnip Hill Rd, Nicholasville, KY 30536 USA.",aconnolly@alltech.com,,,,,,,24,8,10,2,24,WAGENINGEN ACADEMIC PUBLISHERS,WAGENINGEN,"PO BOX 220, WAGENINGEN, 6700 AE, NETHERLANDS",1559-2448,,,INT FOOD AGRIBUS MAN,Int. Food Agribus. Manag. Rev.,,2018,21.0,6,,,,,833,846,,10.22434/IFAMR2017.0089,0.0,,,14,Agricultural Economics & Policy,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Agriculture,GM7ZG,,"Green Published, gold",,,2024-03-08,WOS:000438417900011,0
J,"Sanou, A; Liverpool-Tasie, LSO; Shupp, R",,,,"Sanou, Awa; Liverpool-Tasie, Lenis Saweda O.; Shupp, Robert",,,Eliciting Risk Attitudes in the Field: Surveys or Experimental Methods? An Empirical Comparison in Rural Niger,JOURNAL OF DEVELOPMENT STUDIES,,,English,Article,,,,,,,AGRICULTURAL INNOVATIONS; TECHNOLOGY ADOPTION; GENDER-DIFFERENCES; PREFERENCES; AVERSION; FARMERS; TIME; CONSEQUENCES; DETERMINANTS; INCENTIVES,"We compare several risk preference elicitation methods - including incentivised, non-incentivised, and framed methods as well as a traditional Likert survey question - in a developing country and empirically test how well consequent measures of risk attitudes predict risk taking behaviour. We find that Likert scale and non-incentivised framed survey questions are not sufficient substitutes for costlier incentivised methods in rural Niger. Instead, the incentivised framed question works best while a simplified incentivised lottery question works almost as well. More risk and ambiguity averse farmers are less likely to adopt fertiliser microdosing indicating the importance of insurance and strategies to promote learning.","[Sanou, Awa; Liverpool-Tasie, Lenis Saweda O.; Shupp, Robert] Michigan State Univ, Dept Agr Food & Resource Econ, E Lansing, MI 48824 USA",Michigan State University,"Liverpool-Tasie, LSO (通讯作者)，Michigan State Univ, E Lansing, MI 48824 USA.",lliverp@msu.edu,,,College of Agriculture and Natural Resources; African Studies Center at Michigan State University; Michigan State University AgBioResearch,College of Agriculture and Natural Resources; African Studies Center at Michigan State University; Michigan State University AgBioResearch,This work was supported by the College of Agriculture and Natural Resources and the African Studies Center at Michigan State University. The author(s) further appreciate the support of Michigan State University AgBioResearch.,,64,9,9,0,9,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0022-0388,1743-9140,,J DEV STUD,J. Dev. Stud.,,2018,54.0,8,,,SI,,1450,1470,,10.1080/00220388.2017.1404034,0.0,,,21,Development Studies; Economics,Social Science Citation Index (SSCI),Development Studies; Business & Economics,GF8KS,,Green Submitted,,,2024-03-08,WOS:000432220500011,0
S,"Schmalz, MC",,"Lo, AW; Merton, RC",,"Schmalz, Martin C.",,,Common-Ownership Concentration and Corporate Conduct,"ANNUAL REVIEW OF FINANCIAL ECONOMICS, VOL 10",Annual Review of Financial Economics,,English,Article; Book Chapter,,,,,,ownership; control; network; industry concentration; antitrust; objective of the firm; shareholder unanimity,PARTIAL HORIZONTAL ACQUISITIONS; PRODUCT MARKET RELATIONSHIPS; HEDGE FUND ACTIVISM; CROSS-OWNERSHIP; INSTITUTIONAL INVESTORS; STRATEGIC ALLIANCES; EQUITY OWNERSHIP; RE-CONCENTRATION; COMPETITION; GOVERNANCE,"The question of whether and how partial common-ownership links between strategically interacting firms affect firm objectives and behavior has been the subject of theoretical inquiry for decades. Since then, the growth of intermediated asset management and consolidation in the asset management sector has led to more pronounced common-ownership links at the level at which corporate control is exercised. Recent empirical research has provided evidence consistent with the literature's prediction that common-ownership concentration (CoOCo) can affect product market outcomes. The resulting antitrust concerns have received worldwide attention. However, because CoOCo can change the objective function of a firm, the potential implications span all fields of economics that involve corporate conduct, including corporate governance, strategy, industrial organization, and financial economics. This article connects the papers establishing the theoretical foundations, reviews the empirical and legal literatures, and discusses challenges and opportunities for future research.","[Schmalz, Martin C.] Univ Michigan, Stephen M Ross Sch Business, Ann Arbor, MI 48109 USA; [Schmalz, Martin C.] Ctr Econ Policy Res CEPR, London EC1V 0DX, England; [Schmalz, Martin C.] Ifo Inst Ctr Econ Studies CESifo, D-81679 Munich, Germany; [Schmalz, Martin C.] European Corp Governance Inst ECGI, B-1000 Brussels, Belgium",University of Michigan System; University of Michigan; Centre for Economic Policy Research - UK; European Corporate Governance Institute,"Schmalz, MC (通讯作者)，Univ Michigan, Stephen M Ross Sch Business, Ann Arbor, MI 48109 USA.;Schmalz, MC (通讯作者)，Ctr Econ Policy Res CEPR, London EC1V 0DX, England.;Schmalz, MC (通讯作者)，Ifo Inst Ctr Econ Studies CESifo, D-81679 Munich, Germany.;Schmalz, MC (通讯作者)，European Corp Governance Inst ECGI, B-1000 Brussels, Belgium.",schmalz@umich.edu,,,,,,,165,92,109,28,101,ANNUAL REVIEWS,PALO ALTO,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, CA 94303-0897 USA",1941-1367,,978-0-8243-4810-6,ANNU REV FINANC ECON,Annu. Rev. Financ. Econ.,,2018,10.0,,,,,,413,448,,10.1146/annurev-financial-110217-022747,0.0,,,36,"Business, Finance; Economics",Book Citation Index– Social Sciences & Humanities (BKCI-SSH); Social Science Citation Index (SSCI),Business & Economics,BL3QW,,Green Submitted,,,2024-03-08,WOS:000449989900018,0
