Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Alexeev, M; Conrad, R",,,,"Alexeev, Michael; Conrad, Robert",,,The natural resource curse and economic transition,ECONOMIC SYSTEMS,,,English,Article,,,,,,Economic transition; Resource curse; Institutional quality,ABUNDANCE,"Using cross-country regressions, we examine the relationship between point-source resource abundance and economic growth, quality of institutions, investment in human and physical capital, and social welfare (life expectancy and infant mortality) for all countries and for the economies in transition. Contrary to most literature, we find little evidence of a natural resource curse for all countries. Only the voice and accountability measure of institutional quality is negatively and significantly affected by oil wealth. In the economies in transition, there is some evidence that natural resource wealth is associated with lower primary school enrollment and life expectancy and higher infant mortality compared to other resource rich countries. Compared to other economies in transition, however, natural resource abundant transitional economies are not significantly worse off with respect to our indicators. (C) 2011 Elsevier B.V. All rights reserved.","[Alexeev, Michael] Indiana Univ, Dept Econ, Bloomington, IN 47408 USA; [Conrad, Robert] Duke Univ, Terry Sanford Sch Publ Policy, Durham, NC 27709 USA; [Conrad, Robert] Duke Univ, Dept Econ, Durham, NC 27709 USA",Indiana University System; Indiana University Bloomington; Duke University; Duke University,"Alexeev, M (通讯作者)，Indiana Univ, Dept Econ, Bloomington, IN 47408 USA.",malexeev@indiana.edu; rconrad@duke.edu,,,,,,,25,52,66,2,37,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0939-3625,1878-5433,,ECON SYST,Econ. Syst.,DEC,2011,35.0,4,,,,,445,461,,10.1016/j.ecosys.2010.10.003,0.0,,,17,Economics,Social Science Citation Index (SSCI),Business & Economics,V27TL,,Green Published,,,2024-03-08,WOS:000208635400001,0
J,"Bandiera, O; Levy, G",,,,"Bandiera, Oriana; Levy, Gilat",,,Diversity and the power of the elites in democratic societies: Evidence from Indonesia,JOURNAL OF PUBLIC ECONOMICS,,,English,Article,,,,,,Democracy; Public goods; Elite capture; Diversity,PUBLIC-GOODS; GROWTH,"This paper analyzes whether political outcomes in local democracies are determined by the preferences of the median -typically poor-agents or whether they reflect the wishes of the wealthy elites. Theory suggests that when politicians belonging to different groups can form coalitions, the wealthy elites' influence on policy choices is endogenously higher when there is diversity in preferences among the poor. The pattern of public good provision by local governments in Indonesia is consistent with this intuition. Our analysis indeed shows that when individuals have different preferences - here due to different - ethnicities democratic policy outcomes are closer to the preferences of the elites, rather than the preferences of the poor majority. (C) 2011 Elsevier B.V. All rights reserved.","[Bandiera, Oriana; Levy, Gilat] Univ London London Sch Econ & Polit Sci, Dept Econ, London WC2A 2AE, England",University of London; London School Economics & Political Science,"Bandiera, O (通讯作者)，Univ London London Sch Econ & Polit Sci, Dept Econ, Houghton St, London WC2A 2AE, England.",o.bandiera@lse.ac.uk; g.levy1@lse.ac.uk,,,,,,,26,9,13,1,17,ELSEVIER SCIENCE SA,LAUSANNE,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",0047-2727,,,J PUBLIC ECON,J. Public Econ.,DEC,2011,95.0,11-12,,,,,1322,1330,,10.1016/j.jpubeco.2011.04.002,0.0,,,9,Economics,Social Science Citation Index (SSCI),Business & Economics,871AR,,,,,2024-03-08,WOS:000298710500010,0
J,"Beccherle, J; Tirole, J",,,,"Beccherle, Julien; Tirole, Jean",,,Regional initiatives and the cost of delaying binding climate change agreements,JOURNAL OF PUBLIC ECONOMICS,,,English,Article,,,,,,International negotiations; Climate change; Cap and trade; Bankable permits,POLLUTION PERMITS; COMPETITION; ENVIRONMENT; STRATEGIES,"The Kyoto and Copenhagen Protocols on climate change mitigation postponed the specification of binding commitments to a future negotiation. This paper analyzes the strategic implications of delayed negotiations. While, as is well-understood, the incentive to free ride leads to excessive emissions prior to a binding agreement, the cost of delay is magnified by players' attempt to secure a favorable bargaining position in the future negotiation. A brinkmanship, an effort substitution, and a raising rival's cost effects all concur to generate high post-agreement emissions. The paper applies this general insight to the issuance of forward or bankable permits. (C) 2011 Elsevier B.V. All rights reserved.","[Tirole, Jean] Toulouse Sch Econ, Toulouse, France",Universite de Toulouse; Universite Toulouse 1 Capitole; Toulouse School of Economics,"Tirole, J (通讯作者)，Toulouse Sch Econ, Toulouse, France.",julien.beccherle@developpement-durable.gouv.fr; jean.tirole@tse-fr.eu,,,,,,,23,42,46,1,41,ELSEVIER SCIENCE SA,LAUSANNE,"PO BOX 564, 1001 LAUSANNE, SWITZERLAND",0047-2727,,,J PUBLIC ECON,J. Public Econ.,DEC,2011,95.0,11-12,,,,,1339,1348,,10.1016/j.jpubeco.2011.04.007,0.0,,,10,Economics,Social Science Citation Index (SSCI),Business & Economics,871AR,,,,,2024-03-08,WOS:000298710500012,0
J,"Becchetti, L; Castriota, S",,,,"Becchetti, Leonardo; Castriota, Stefano",,,Wage Differentials in Italian Social Enterprises,ECONOMIA POLITICA,,,English,Article,,,,,,,EMPLOYER-SIZE; NONPROFIT; SATISFACTION; PSYCHOLOGY; MOTIVATION; PROFIT,"In Italy social enterprises include more than 7,0(X) institutions with around 250,000 workers serving more than three million people, a big share of which disadvantaged. Using the ICSI 2007 survey conducted by a pool of Italian universities on a representative sample of social enterprises, we analyze the determinants of nominal and real wages (adjusted for the cost of living in the area of residence). Our two main findings show that: i) low wages, absence of direct education premia and gender wage gaps may reduce attractiveness of this sector (beyond intrinsic motivations) for young talented workers even though indirect education premia in terms of higher probability of becoming manager exist; ii)cooperative wage differentials are sensitive to regional disparities in PPP even though they do not fully compensate for them: nominal wages are higher in Northern Italy but, after adjusting for the cost of living, they become higher in the South.",,,,,,"BECCHETTI, LEONARDO/0000-0002-7629-0716; Castriota, Stefano/0000-0001-9252-778X",,,,,49,2,2,0,13,SPRINGER INT PUBL AG,CHAM,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",1120-2890,1973-820X,,ECON POLIT-ITALY,Econ. Polit.,DEC,2011,28.0,3,,,,,323,367,,,,,,45,Economics,Social Science Citation Index (SSCI),Business & Economics,877MR,,,,,2024-03-08,WOS:000299187100003,0
J,"Bloch, F; Herings, JJ; Klaus, B; Wooders, M",,,,"Bloch, Francis; Herings, Jean-Jacques; Klaus, Bettina; Wooders, Myrna",,,INTRODUCTION TO THE COALITION THEORY NETWORK SPECIAL ISSUE,JOURNAL OF PUBLIC ECONOMIC THEORY,,,English,Editorial Material,,,,,,,,,"[Bloch, Francis] Ecole Polytech, F-75230 Paris, France; [Herings, Jean-Jacques] Maastricht Univ, Dept Econ, Maastricht, Netherlands; [Klaus, Bettina] Univ Lausanne, CH-1015 Lausanne, Switzerland; [Wooders, Myrna] Vanderbilt Univ, Nashville, TN 37235 USA",Maastricht University; University of Lausanne; Vanderbilt University,"Bloch, F (通讯作者)，Ecole Polytech, F-75230 Paris, France.",,"Klaus, Bettina E/H-8223-2012; Bloch, Francis/IAO-6799-2023","Klaus, Bettina/0000-0001-9140-4729; Herings, P. Jean-Jacques/0000-0002-1100-8601",,,,,0,0,0,0,4,WILEY-BLACKWELL,MALDEN,"COMMERCE PLACE, 350 MAIN ST, MALDEN 02148, MA USA",1097-3923,,,J PUBLIC ECON THEORY,J. Public. Econ. Theory.,DEC,2011,13.0,6,,,SI,,883,884,,10.1111/j.1467-9779.2011.01530.x,0.0,,,2,Economics,Social Science Citation Index (SSCI),Business & Economics,853FK,,Green Submitted,,,2024-03-08,WOS:000297411400001,0
J,"Cantala, D",,,,"Cantala, David",,,Agreement toward stability in matching markets,REVIEW OF ECONOMIC DESIGN,,,English,Article,,,,,,Matching; Lattice; Unanimity; Deferred Acceptance algorithm,LATTICE STRUCTURE; STABLE MATCHINGS; SENIOR-LEVEL; SET,"For firms with responsive preferences, we prove that the set of stable matchings unanimously preferred by workers to any firm quasi-stable matching has a lattice structure. This follows from a generalization of the Decomposition Lemma. The result does not hold when firms have q-substitutable preferences. Nevertheless, we show that the set of stable matchings unanimously preferred by workers to a firm quasi-stable matching contains an element which is unanimously least preferred by workers, and most preferred by firms. When a firm quasi-stable matching is fed into our extension of the Deferred Acceptance algorithm (where firms propose), the existence of this matching guarantees the success of the algorithm.","El Colegio Mexico, Mexico City 10740, DF, Mexico",Colegio de Mexico,"Cantala, D (通讯作者)，El Colegio Mexico, CEE Camino Ajusco 20, Mexico City 10740, DF, Mexico.",dcantala@colmex.mx,,,,,,,19,2,3,0,8,SPRINGER HEIDELBERG,HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",1434-4742,,,REV ECON DES,Rev. Econ. Des.,DEC,2011,15.0,4,,,,,293,316,,10.1007/s10058-009-0098-3,0.0,,,24,Economics,Social Science Citation Index (SSCI),Business & Economics,850VH,,,,,2024-03-08,WOS:000297227100002,0
J,"Chang, HJ",,,,"Chang, Ha-Joon",,,"Reply to the comments on 'Institutions and Economic Development: Theory, Policy and History'",JOURNAL OF INSTITUTIONAL ECONOMICS,,,English,Article,,,,,,,ORIGINS,"This article is a reply to the comments made on my target article, 'Institutions and Economic Development: Theory, Policy and History', at the beginning of this issue.","Univ Cambridge, Fac Econ, Cambridge CB3 9DD, England",University of Cambridge,"Chang, HJ (通讯作者)，Univ Cambridge, Fac Econ, Sidgwick Ave, Cambridge CB3 9DD, England.",hjc1001@cam.ac.uk,,,,,,,32,11,12,0,17,CAMBRIDGE UNIV PRESS,CAMBRIDGE,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND",1744-1374,1744-1382,,J I ECON,J. Inst. Econ.,DEC,2011,7.0,4,,,,,595,613,,10.1017/S174413741100035X,0.0,,,19,Economics,Social Science Citation Index (SSCI),Business & Economics,861DD,,,,,2024-03-08,WOS:000297998300018,0
J,"Chang, TY; Lee, CH; Chou, PI; Tang, DP",,,,"Chang, Tsangyao; Lee, Chia-Hao; Chou, Pei-I; Tang, Dai-Piao",,,Revisiting long-run purchasing power parity with asymmetric adjustment for G-7 countries,JAPAN AND THE WORLD ECONOMY,,,English,Article,,,,,,Threshold cointegration test; Purchasing power parity; Asymmetric adjustment; G-7 countries; Policy implications,NONLINEAR ADJUSTMENT; UNIT-ROOT; COINTEGRATION; STATIONARITY,"In this study, we applied a threshold cointegration test advanced by Enders and Siklos (2001) to investigate the properties of asymmetric adjustment on long-run purchasing power parity (PPP) in G-7 countries between January 1994 and April 2010. Although there was strong evidence of long-run PPP for these G-7 countries, with the exception of Canada, the adjustment mechanism was asymmetric. These results have important policy implications for G-7 countries. (C) 2011 Elsevier B.V. All rights reserved.","[Chang, Tsangyao] Feng Chia Univ, Dept Finance, Taichung 40724, Taiwan; [Lee, Chia-Hao; Chou, Pei-I] Natl Chung Hsing Univ, Dept Finance, Taichung 40227, Taiwan; [Tang, Dai-Piao] Natl Taiwan Univ, Grad Inst Natl Dev, Taipei 10764, Taiwan",Feng Chia University; National Chung Hsing University; National Taiwan University,"Chang, TY (通讯作者)，Feng Chia Univ, Dept Finance, Taichung 40724, Taiwan.",tychang@fcu.edu.tw,,,,,,,25,5,5,0,8,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0922-1425,1879-2006,,JPN WORLD ECON,Jpn. World Econ.,DEC,2011,23.0,4,,,,,259,264,,10.1016/j.japwor.2011.09.001,0.0,,,6,Economics,Social Science Citation Index (SSCI),Business & Economics,864AV,,,,,2024-03-08,WOS:000298210300005,0
J,"Correia-Da-Silva, J; Pinho, J",,,,"Correia-da-Silva, Joao; Pinho, Joana",,,Costly horizontal differentiation,PORTUGUESE ECONOMIC JOURNAL,,,English,Article,,,,,,Costly product differentiation; Spatial competition; Collusion; Hotelling model,PRODUCT DIFFERENTIATION; SPATIAL COMPETITION; STABILITY; EQUILIBRIUM; COLLUSION,"We study the effect of quadratic differentiation costs in the Hotelling model of endogenous product differentiation. The equilibrium location choices are found to depend on the magnitude of the differentiation costs (relatively to the transportation costs supported by consumers). When the differentiation costs are low, there is maximum differentiation. When they are high, there is partial differentiation, with a degree of differentiation that decreases with the differentiation costs. In any case, the socially optimal degree of differentiation is always lower than the equilibrium level. We also study the case of collusion between firms. If firms can combine locations but not prices, they locate asymmetrically when differentiation costs are high and choose maximum differentiation when they are low. When collusion extends to price setting, there is partial differentiation.","[Correia-da-Silva, Joao] Univ Porto, CEF UP, P-4100 Oporto, Portugal; [Correia-da-Silva, Joao; Pinho, Joana] Univ Porto, Fac Econp, P-4100 Oporto, Portugal",Universidade do Porto; Universidade do Porto,"Correia-Da-Silva, J (通讯作者)，Univ Porto, CEF UP, Rua Campo Alegre 823, P-4100 Oporto, Portugal.",joao@fep.up.pt,"Correia-da-Silva, Joao/B-5940-2009; Pinho, Joana/M-4008-2013","Correia-da-Silva, Joao/0000-0001-6040-2384; Pinho, Joana/0000-0001-6348-3108",,,,,20,5,9,1,12,SPRINGER HEIDELBERG,HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",1617-982X,,,PORT ECON J,Port. Econ. J.,DEC,2011,10.0,3,,,,,165,188,,10.1007/s10258-010-0066-4,0.0,,,24,Economics,Social Science Citation Index (SSCI),Business & Economics,850BW,,Green Submitted,,,2024-03-08,WOS:000297170400001,0
J,"Danziger, SK",,,,"Danziger, Sandra K.",,,The Time Use of Mothers in the United States at the Beginning of the 21st Century,JOURNAL OF ECONOMIC LITERATURE,,,English,Book Review,,,,,,,,,"[Danziger, Sandra K.] Univ Michigan, Ann Arbor, MI 48109 USA",University of Michigan System; University of Michigan,"Danziger, SK (通讯作者)，Univ Michigan, Ann Arbor, MI 48109 USA.",,,,,,,,3,0,0,0,2,AMER ECONOMIC ASSOC,NASHVILLE,"2014 BROADWAY, STE 305, NASHVILLE, TN 37203 USA",0022-0515,,,J ECON LIT,J. Econ. Lit.,DEC,2011,49.0,4,,,,,1288,1289,,,,,,2,Economics,Social Science Citation Index (SSCI),Business & Economics,866VE,,,,,2024-03-08,WOS:000298413400024,0
