Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Meissner, D",,,,"Meissner, Dirk",,,Results and impact of national Foresight-studies,FUTURES,,,English,Article,,,,,,,TECHNOLOGY POLICY; SCIENCE; FUTURE,"Conducting national Foresight studies has become common in many countries. However the impact of such studies on the performance of the national innovation system remains unclear. The paper therefore assesses the impact of national Foresight studies conducted in member countries of the Organization for Economic Cooperation and Development (OECD) and the European Research Area (ERA). The study provides a first indication of the impact of national Foresight studies on the performance of national innovation systems. However the findings so far are preliminary since input data reflect long term developments of national innovation systems. Thus a long term study of the impacts of national Foresight studies is essential. In the short term, it can be concluded that national Foresight studies contribute significantly to the design and in some countries reshape of the innovation system structure and framework conditions. A direct quantitative measurement of the impact and thus the value of Foresight studies cannot yet be done in a statistically reliable fashion. However the changes these studies have caused within the national innovation systems may have an indirect impact on the future national innovation performance. Most recently national Foresight studies have switched from a rather exclusive focus on technology trend assessments towards more integrated holistic approaches identifying future challenges for society and economy as a whole thus deriving strengths and weaknesses of the national scientific, research and technology base to meet these challenges long term in the most appropriate way. (C) 2012 Elsevier Ltd. All rights reserved.","Natl Res Univ, Higher Sch Econ, Res Lab Sci & Technol Studies, Inst Stat Studies & Econ Knowledge, Moscow, Russia",HSE University (National Research University Higher School of Economics),"Meissner, D (通讯作者)，Natl Res Univ, Higher Sch Econ, Res Lab Sci & Technol Studies, Inst Stat Studies & Econ Knowledge, Moscow, Russia.",dirk.meissner@gmail.com,"Meissner, Dirk/O-3112-2013","Meissner, Dirk/0000-0003-4573-0376",,,,,49,34,34,2,31,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0016-3287,1873-6378,,FUTURES,Futures,DEC,2012,44.0,10,,,,,905,913,,10.1016/j.futures.2012.07.010,0.0,,,9,Economics; Regional & Urban Planning,Social Science Citation Index (SSCI),Business & Economics; Public Administration,056CD,,,,,2024-03-09,WOS:000312465100007,0
J,"Stange, K",,,,"Stange, Kevin",,,ABILITY SORTING AND THE IMPORTANCE OF COLLEGE QUALITY TO STUDENT ACHIEVEMENT: EVIDENCE FROM COMMUNITY COLLEGES,EDUCATION FINANCE AND POLICY,,,English,Article,,,,,,,COMPLETION; RETURNS; SUCCESS; MARKET; 2-YEAR; IMPACT,"This article examines the effect of institutional quality on the educational attainment of community college students, a large group that has been mostly overlooked in previous work. The effect of institutional quality is generally difficult to separate from that of student ability because more capable students usually sort into better colleges. A detailed analysis of student sorting reveals this not to be the case among community college students, for whom college quality is effectively determined by factors other than their aptitude. This facilitates identification of school quality effects. I find that community college quality (as measured by instructional expenditure per student and several other measures) has no impact on community college students' educational attainment. States and colleges should seek to identify other factors that may be more influential.","Univ Michigan, Ford Sch Publ Policy, Ann Arbor, MI 48109 USA",University of Michigan System; University of Michigan,"Stange, K (通讯作者)，Univ Michigan, Ford Sch Publ Policy, Ann Arbor, MI 48109 USA.",kstange@umich.edu,,,,,,,32,20,31,0,18,MIT PRESS,CAMBRIDGE,"ONE ROGERS ST, CAMBRIDGE, MA 02142-1209 USA",1557-3060,1557-3079,,EDUC FINANC POLICY,Educ. Financ. Policy,WIN,2012,7.0,1,,,,,74,105,,10.1162/EDFP_a_00054,0.0,,,32,Economics; Education & Educational Research,Social Science Citation Index (SSCI),Business & Economics; Education & Educational Research,878IC,,,,,2024-03-09,WOS:000299247700004,0
J,"Quinlan, M",,,,"Quinlan, Michael",,,The 'Pre-Invention' of Precarious Employment: The Changing World of Work in Context,ECONOMIC AND LABOUR RELATIONS REVIEW,,,English,Article,,,,,,Casual employment; contingent work; day labour; employment insecurity; labour contractors; precariat; precarious employment; subcontractors; temporary work; transient workers,TEMPORARY EMPLOYMENT; HEALTH; SICK; GOVERNMENT,"The term 'precarious employment' is widely used to describe irregular and insecure work arrangements that have grown substantially in both rich and poor countries since the late 1970s. Like the term 'contingent work', precarious employment has been adopted and increasingly used by academic researchers and later policy-makers since the 1980s. However, the term has deeper historical roots and its recent use can be more accurately seen as a revival as labour markets have taken on some features characteristic of an earlier period. This article examines the use of the term 'precarious employment' in political and public debate in the century or more prior to the 1930s, finding that in key respects, this use mirrors contemporary debates. Recognising that precarious employment was a pervasive feature of labour markets in developed countries prior to World War Two has a number of major benefits for contemporary debates. These include a better understanding of the policies that shape the extent of precarious employment. Historical evidence also provides a guide for and reinforcement of a growing body of contemporary research, pointing to both the immediate and broader social effects of precarious employment.","[Quinlan, Michael] Univ New S Wales, Sch Management, Sydney, NSW 2052, Australia; [Quinlan, Michael] Univ New S Wales, Ind Relat Res Ctr, Sydney, NSW 2052, Australia",University of New South Wales Sydney; University of New South Wales Sydney,"Quinlan, M (通讯作者)，Univ New S Wales, Ind Relat Res Ctr, Sydney, NSW 2052, Australia.",m.quinlan@unsw.edu.au,,,,,,,57,85,99,0,45,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",1035-3046,1838-2673,,ECON LABOUR RELAT RE,Econ. Labour Relat. Rev.,NOV,2012,23.0,4,,,,,3,23,,10.1177/103530461202300402,0.0,,,21,Economics; Industrial Relations & Labor,Social Science Citation Index (SSCI),Business & Economics,062KM,,,,,2024-03-09,WOS:000312918700002,0
J,"Fernandez, LM",,,,"Fernandez, Linda M.",,,NAFTA and Climate Change,WORLD TRADE REVIEW,,,English,Book Review,,,,,,,MATTER,,"[Fernandez, Linda M.] Virginia Commonwealth Univ, Richmond, VA 23284 USA",Virginia Commonwealth University,"Fernandez, LM (通讯作者)，Virginia Commonwealth Univ, Richmond, VA 23284 USA.",,,,,,,,4,0,0,0,5,CAMBRIDGE UNIV PRESS,CAMBRIDGE,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND",1474-7456,,,WORLD TRADE REV,World Trade Rev.,OCT,2012,11.0,4,,,,,652,654,,10.1017/S1474745612000390,0.0,,,3,Economics; International Relations; Law,Social Science Citation Index (SSCI),Business & Economics; International Relations; Government & Law,027WR,,,,,2024-03-09,WOS:000310385300006,0
J,"Gulácsi, L; Orlewska, E; Péntek, M",,,,"Gulacsi, L.; Orlewska, E.; Pentek, M.",,,Health economics and health technology assessment in Central and Eastern Europe: a dose of reality,EUROPEAN JOURNAL OF HEALTH ECONOMICS,,,English,Editorial Material,,,,,,,,,"[Gulacsi, L.; Pentek, M.] Corvinus Univ Budapest HunHTA, Hlth Econ & Hlth Technol Assessment Res Ctr, Budapest, Hungary; [Orlewska, E.] Ctr Pharmacoecon, Warsaw, Poland",Corvinus University Budapest,"Gulácsi, L (通讯作者)，Corvinus Univ Budapest HunHTA, Hlth Econ & Hlth Technol Assessment Res Ctr, Budapest, Hungary.",laszlo.gulacsi@uni-corvinus.hu,"Gulacsi, Laszlo/HMD-6274-2023; Péntek, Márta/HTQ-3097-2023; Orlewska, Ewa/HMW-0385-2023","Péntek, Márta/0000-0001-9636-6012; Gulacsi, Laszlo/0000-0002-9285-8746",,,,,13,23,23,0,16,SPRINGER,NEW YORK,"233 SPRING ST, NEW YORK, NY 10013 USA",1618-7598,1618-7601,,EUR J HEALTH ECON,Eur. J. Health Econ.,OCT,2012,13.0,5,,,,,525,531,,10.1007/s10198-012-0411-x,0.0,,,7,Economics; Health Policy & Services,Social Science Citation Index (SSCI),Business & Economics; Health Care Sciences & Services,995RJ,22729215.0,Bronze,,,2024-03-09,WOS:000308029500001,0
J,"Bhaduri, A",,,,"Bhaduri, Amit",,,Climate Change,ECONOMIC AND LABOUR RELATIONS REVIEW,,,English,Article,,,,,,Demand management; economic policy; economic role of the state; financial capital; globalisation; Kalecki; Keynes; productivity,,"The author surveys shifts in macro-economic policy and thought from Keynes and Kalecki to the present, tracking the changing climate of economic opinion. As Kalecki foresaw, the success of Keynesian demand management was undermined when, in an era of full employment, the power of labour threatened industrialists' authority over the economy. From the 1970s, this led governments to introduce pro-capitalist measures. Countering recessions with budget deficits was now seen as irresponsible. The rise of globalisation meant that domestic demand management became less effective, especially in economies highly dependent on imports. Opening up economies meant that their exchange rates and stock markets became more vulnerable to capital flights. As the reach of finance became increasingly global, those private credit rating agencies became the game changers. Today private credit agencies, through their rating of the investment climate and sovereign risk of a country, in effect rate the quality of its government. Capitalist democracies are now dominated by private finance. Management of the investment climate is increasingly done through the virtual rather than the real economy creating artificial financial asset and housing market bubbles. At the same time, in the neglected real economy, inequality and unemployment have increased, and living standards are falling.","[Bhaduri, Amit] Univ Pavia, I-27100 Pavia, Italy; [Bhaduri, Amit] Council Social Dev, Delhi, India",University of Pavia,"Bhaduri, A (通讯作者)，Univ Pavia, I-27100 Pavia, Italy.",,,,,,,,6,5,6,0,14,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",1035-3046,1838-2673,,ECON LABOUR RELAT RE,Econ. Labour Relat. Rev.,SEP,2012,23.0,3,,,,,3,11,,10.1177/103530461202300301,0.0,,,9,Economics; Industrial Relations & Labor,Social Science Citation Index (SSCI),Business & Economics,025HM,,,,,2024-03-09,WOS:000310179300001,0
J,"Neumark, D",,,,"Neumark, David",,,Detecting Discrimination in Audit and Correspondence Studies,JOURNAL OF HUMAN RESOURCES,,,English,Article,,,,,,,FIELD EXPERIMENTS; SEX,"Audit studies testing for discrimination have been criticized because applicants from different groups may not appear identical to employers. Correspondence studies address this criticism by using fictitious paper applicants whose qualifications can be made identical across groups. However, Heckman and Siegelman (1993) show that group differences in the variance of unobservable determinants of productivity still can generate spurious evidence of discrimination in either direction. This paper shows how to recover an unbiased estimate of discrimination when the correspondence study includes variation in applicant characteristics that affect hiring. The method is applied to actual data and assessed using Monte Carlo methods.","[Neumark, David] Univ Calif Irvine, Dept Econ, Ctr Econ & Publ Policy, Irvine, CA 92697 USA; [Neumark, David] NBER, Cambridge, MA 02138 USA",University of California System; University of California Irvine; National Bureau of Economic Research,"Neumark, D (通讯作者)，Univ Calif Irvine, Dept Econ, Ctr Econ & Publ Policy, 3151 Social Sci Plaza, Irvine, CA 92697 USA.",dneumark@uci.edu,,,,,,,31,117,136,0,45,UNIV WISCONSIN PRESS,MADISON,"JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, WI 53711 USA",0022-166X,1548-8004,,J HUM RESOUR,J. Hum. Resour.,FAL,2012,47.0,4,,,,,1128,1157,,10.1353/jhr.2012.0032,0.0,,,30,Economics; Industrial Relations & Labor,Social Science Citation Index (SSCI),Business & Economics,034FT,,Green Submitted,,,2024-03-09,WOS:000310856700009,0
J,"Rani, U; Belser, P",,,,"Rani, Uma; Belser, Patrick",,,Low pay among wage earners and the self-employed in India,INTERNATIONAL LABOUR REVIEW,,,English,Article,,,,,,low wages; wage determination; self-employed; labour productivity; definition; India,GROWTH,"While inequality and poverty in India have been much studied, little attention has been given to the underlying role of the labour market. To help remedy this gap, the authors examine low pay in India, giving particular attention to its magnitude, characteristics and determinants. An absolute low-pay threshold is calculated that, if reached, would provide workers with a decent livelihood. Using household-level micro-data that cover wage earners and the self-employed, the authors find that roughly half of India's workforce is low-paid, revealing a serious decent work deficit. They propose policies to improve wages and productivity and thereby boost earnings.",,,,amara@ilo.org; belser@ilo.org,"Rani, Uma/X-1714-2019",,,,,,46,6,6,1,11,WILEY-BLACKWELL,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0020-7780,,,INT LABOUR REV,Int. Labour Rev.,SEP,2012,151.0,3,,,SI,,221,242,,10.1111/j.1564-913X.2012.00146.x,0.0,,,22,Economics; Industrial Relations & Labor,Social Science Citation Index (SSCI),Business & Economics,007IQ,,,,,2024-03-09,WOS:000308882400005,0
J,"Bonaiuti, M",,,,"Bonaiuti, Mauro",,,Growth and democracy: Trade-offs and paradoxes,FUTURES,,,English,Article,,,,,,,,"The present paper attempts to reveal the relationships between some long-run systemic processes (on the economic, ecological, social and symbolic levels) and the theme of democracy. Starting from the distinction between democracy and autonomy, the paper focusses on its main issue: the trade-off between growth and autonomy. Continual growth can be produced, and indeed has been produced throughout history, only if accompanied by a loss of autonomy, even, beyond a certain scale threshold, to the detriment of representative democracy. While this conflict has never been rejected by political theorists, it has, in actual fact, been removed from all political debate. The second part of the paper seeks to individuate some of the long-run basic dynamics that characterise the global system: the analysis starts from the growth/accumulation/innovation process which characterized industrial capitalism, first, and financial capitalism, later, pointing out its self-pursuing, multi-scale, emergent nature with its main consequences for both ecological and social sustainability. The outcome of these processes, such as the loss of well-being, the increasing social and ecological costs and the growing fragmentation of the collective imaginary, in the long run leads the global system towards a condition of non equilibrium, from which either scenarios of greater autonomy or fatal risks for democracy itself, may emerge. (C) 2012 Elsevier Ltd. All rights reserved.","Univ Turin, I-10124 Turin, Italy",University of Turin,"Bonaiuti, M (通讯作者)，Univ Turin, Via Verdi 8, I-10124 Turin, Italy.",mauro.bonaiuti@unibo.it,,,,,,,57,14,15,0,14,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0016-3287,1873-6378,,FUTURES,Futures,AUG,2012,44.0,6,,,,,524,534,,10.1016/j.futures.2012.03.013,0.0,,,11,Economics; Regional & Urban Planning,Social Science Citation Index (SSCI),Business & Economics; Public Administration,969CI,,,,,2024-03-09,WOS:000306032900002,0
J,"Foltea, M",,,,"Foltea, Marina",,,The WTO-WCO: A Model of Judicial Institutional Cooperation?,JOURNAL OF WORLD TRADE,,,English,Article,,,,,,,CUSTOMS CLASSIFICATION; EUROPEAN-COMMUNITIES; TRADE,"The examination of the relationship of WTO and other international organizations (IOs) has been mostly seen through prism of fragmentation of international law and institutions. This is fully understandable given that different IOs have received uneven treatment at the WTO, including in dispute settlement. This is a sign of an inconsistent and fragmented landscape of international legal order with different IOs playing differently defined roles, even within the narrow field of WTO dispute settlement. While many remedies have been offered to cure the problem, this article examines institutional fragmentation by using the example of interaction between the WTO and WCO. While the cooperation between the WTO and WCO has been quite prolific, the central question addressed in this article is to what extent this cooperation model can serve as reference for the WTO judiciary in shaping its interactions with other IOs and what would be the factors for such assessment.","WTI, Bern, Switzerland",University of Bern,"Foltea, M (通讯作者)，WTI, Bern, Switzerland.",marina.foltea@wti.org,,,,,,,46,1,1,0,8,KLUWER LAW INT,ALPHEN AAN DEN RIJN,"ZUIDPOOLSINGEL 2, PO BOX 316, 2400 AH ALPHEN AAN DEN RIJN, NETHERLANDS",1011-6702,2210-2795,,J WORLD TRADE,J. World Trade,AUG,2012,46.0,4,,,,,815,846,,,,,,32,Economics; International Relations; Law,Social Science Citation Index (SSCI),Business & Economics; International Relations; Government & Law,201JT,,,,,2024-03-09,WOS:000323138600002,0
